ID,titulo_noticia,medio,palabra,puntuacion
id_129,"Las abejas melíferas están eliminando el 80% del polen y dejan a las nativas sin nada, dice estudio",bbcl,riesgo,-2
id_131,Con técnica Miyawaki: Gobierno de Santiago y Municipalidad de Peñalolén plantan más de mil árboles,bbcl,crecimiento,2
id_132,"James Hamilton, el denunciante de Karadima que encontró una explicación al abuso con el ""Homo exul""",bbcl,abuso,-3
id_132,"James Hamilton, el denunciante de Karadima que encontró una explicación al abuso con el ""Homo exul""",bbcl,violencia,-3
id_132,"James Hamilton, el denunciante de Karadima que encontró una explicación al abuso con el ""Homo exul""",bbcl,perspectiva,1
id_132,"James Hamilton, el denunciante de Karadima que encontró una explicación al abuso con el ""Homo exul""",bbcl,desconectado,-1
id_133,Hallan parásitos y bacterias potencialmente peligrosas en 4% de ensaladas envasadas: cómo eliminarlos,bbcl,provocar,-1
id_133,Hallan parásitos y bacterias potencialmente peligrosas en 4% de ensaladas envasadas: cómo eliminarlos,bbcl,grave,-2
id_134,"Reportan que el océano se está haciendo más salado en la Antártica: ""Es profundamente preocupante""",bbcl,alerta,-1
id_134,"Reportan que el océano se está haciendo más salado en la Antártica: ""Es profundamente preocupante""",bbcl,amenaza,-2
id_134,"Reportan que el océano se está haciendo más salado en la Antártica: ""Es profundamente preocupante""",bbcl,amenaza,-2
id_134,"Reportan que el océano se está haciendo más salado en la Antártica: ""Es profundamente preocupante""",bbcl,amenaza,-2
id_135,"ONU advierte sobre frío extremo en Chile y Argentina: ""la dureza de este evento es excepcional""",bbcl,excepcional,5
id_135,"ONU advierte sobre frío extremo en Chile y Argentina: ""la dureza de este evento es excepcional""",bbcl,afectado,-1
id_136,Con un incómodo abrazo: Milei traspasa la presidencia del Mercosur a Lula,bbcl,combate,-1
id_136,Con un incómodo abrazo: Milei traspasa la presidencia del Mercosur a Lula,bbcl,crimen,-3
id_136,Con un incómodo abrazo: Milei traspasa la presidencia del Mercosur a Lula,bbcl,delito,-3
id_136,Con un incómodo abrazo: Milei traspasa la presidencia del Mercosur a Lula,bbcl,abrazo,2
id_137,"El cóndor andino y otras 500 especies de aves se extinguirán en los próximos 100 años, según estudio",bbcl,advierte,-2
